,coef,std_err,p_value,ci_low,ci_high
post,0.552243132056441,1.2149926452768647,0.6494518315093905,-1.829098694167263,2.933584958280145
treat_post,,,,,
trade_openness,0.8054298161533482,2.9517758191672776,0.784958682743479,-4.979944479850731,6.590804112157427
renewable_energy_pct,0.03753288198545238,0.08402713349139468,0.6551092010086075,-0.12715727338182056,0.20222303735272532
manufacturing_growth,-9.287347783036854e-12,4.73892269234047e-12,0.05001899630417179,-1.857546558554376e-11,7.700194700530658e-16
ores_metals_exports_pct,0.03800751233174608,0.4610734749714779,0.9343026666412804,-0.8656798928390806,0.9416949175025727
population,1.8776796902715732e-07,1.1071476627395072e-07,0.08989319205488754,-2.9228985426555947e-08,4.047649234808706e-07
