,coef,std_err,p_value,ci_low,ci_high
event_-5,0.8921487867520855,1.6352123747168459,0.5853506306921508,-2.3128085747671476,4.097106148271319
event_-4,0.5829626462306342,1.5786024169689163,0.7119113142292148,-2.511041236936323,3.6769665293975913
event_-3,0.796855830871674,1.1945371060006735,0.5047188859313825,-1.5443938750863508,3.138105536829699
event_-2,-0.2126372479315498,0.7605848808490822,0.7798068886504403,-1.7033562215814393,1.2780817257183394
event_0,1.3863357276830794,1.083523797122456,0.20073174845791342,-0.7373318910690188,3.5100033464351776
event_1,1.3861467737342714,1.383899134677504,0.3165251598787324,-1.3262456884697822,4.0985392359383255
event_2,0.9104776205381171,1.1885044996264498,0.4436346630389776,-1.4189483941935226,3.2399036352697568
event_3,2.079607732578891,1.669679540762735,0.21294320501844288,-1.1929040330394467,5.352119498197229
event_4,2.955074709274404,2.2979435276943936,0.19845531322845245,-1.5488118435135276,7.458961262062335
event_5,3.0504223616180464,2.051692405520478,0.13707200770427666,-0.9708208605564388,7.071665583792532
